Price,Car Name,Region,Condition,Mileage
"₦ 3,045,000",Honda Accord 2006 Gold,"Lagos State, Ikorodu",Local Used,212741 km
"₦ 478,400,000",Mercedes-Benz G-Class G 63 AMG 2021 White,"Lagos State, Lekki",Foreign Used,25034 km
"₦ 15,225,000",Nissan Altima 2018 Black,"Lagos State, Ikeja",Foreign Used,76319 km
"₦ 2,300,000",Honda Accord 2000 Gold,"Rivers State, Port-Harcourt",Local Used,360701 km
"₦ 6,240,000",Toyota Sienna 2001 Burgandy,"Abuja (FCT), Lugbe District",Local Used,456270 km
"₦ 13,650,000",Toyota Tacoma 2007 Gold,"Lagos State, Isolo",Foreign Used,274664 km
"₦ 11,550,000",Mercedes-Benz G-Class Base G 55 AMG 4x4 2011 Black,"Lagos State, Ikorodu",Local Used,
"₦ 5,880,000",Toyota Corolla 2008 Gray,"Ondo State, Akure",Local Used,160893 km
"₦ 6,240,000",Ford Edge 2010 Black,"Lagos State, Lekki",Local Used,219134 km
"₦ 3,432,000",Peugeot 206 2004 Blue,"Abuja (FCT), Kubwa",Local Used,239116 km
"₦ 19,858,125",Mercedes-Benz GLA 250 2015 Beige,"Lagos State, Ajah",Local Used,31419 km
"₦ 42,000,000",Nissan Patrol 2019 Gray,"Lagos State, Ikeja",Local Used,42038 km
"₦ 6,300,000",Toyota RAV4 2007 Gray,"Rivers State, Port-Harcourt",Local Used,20842 km
"₦ 18,900,000",Toyota Venza 2010 Black,"Lagos State, Isolo",Foreign Used,93083 km
"₦ 6,240,000",Toyota Sienna 2006 Gold,"Edo State, Benin City",Local Used,141293 km
"₦ 6,090,000",Mercedes-Benz C300 2011 White,"Lagos State, Alimosho",Local Used,278154 km
"₦ 6,448,000",Toyota Avalon 2008 Brown,"Lagos State, Yaba",Local Used,239426 km
"₦ 24,960,000",Mercedes-Benz E350 2015 Black,"Lagos State, Alimosho",Foreign Used,275238 km
"₦ 12,075,000",Toyota Venza 2009 Black,"Lagos State, Lekki",Local Used,32227 km
"₦ 12,600,000",Honda Odyssey 2015 Gray,"Abuja (FCT), Asokoro",Local Used,105762 km
"₦ 6,760,000",Lexus GS 2007 Black,"Oyo State, Ibadan",Local Used,191891 km
"₦ 14,560,000",Toyota Corolla 2015 Gray,"Abuja (FCT), Karu",Local Used,63521 km
"₦ 5,565,000",Nissan Armada 2004 Gray,"Abia State, Aba North",Local Used,261582 km
"₦ 3,200,000",Nissan Sentra 2.0 2012 Black,"Lagos State, Lekki",Local Used,104636 km
"₦ 64,480,000",Toyota Highlander 2020 Black,"Lagos State, Magodo",Foreign Used,70690 km
"₦ 3,150,000",Ford Escape 2005 Black,"Lagos State, Ilupeju",Local Used,223669 km
"₦ 5,565,000",Nissan Almera 2014 Gold,"Abuja (FCT), Gudu",Local Used,131987 km
"₦ 35,360,000",Honda Accord 2021 White,"Lagos State, Ilupeju",Foreign Used,44655 km
"₦ 8,632,000",Lexus ES 2007 Blue,"Lagos State, Ogudu",Local Used,199949 km
"₦ 37,440,000",Lexus GX 2010 Silver,"Lagos State, Ikeja",Foreign Used,97298 km
"₦ 11,960,000",Toyota Camry 2012 Silver,"Abuja (FCT), Lugbe District",Local Used,357508 km
"₦ 26,000,000",Mercedes-Benz GLK-Class 2014 Gray,"Enugu State, Enugu",Local Used,131943 km
"₦ 8,632,000",Hyundai Sonata 2012 Gray,"Abuja (FCT), Wuse",Local Used,215279 km
"₦ 10,500,000",Mercedes-Benz SLK-Class 2008 Black,"Abuja (FCT), Jabi",Local Used,192863 km
"₦ 64,890,000",Land Rover Range Rover Velar 2018 Gray,"Lagos State, Lekki",Foreign Used,179904 km
"₦ 1,501,500",Honda Accord 1999 Black,"Lagos State, Yaba",Local Used,
"₦ 6,240,000",Toyota Matrix 2004 Silver,"Lagos State, Isolo",Local Used,127267 km
"₦ 38,480,000",Toyota Camry 2018 Black,"Abuja (FCT), Wuse",Foreign Used,96368 km
"₦ 3,360,000",Toyota Solara 2004 Red,"Abia State, Umuahia",Local Used,166642 km
"₦ 12,480,000",Honda Accord 2015 White,"Abuja (FCT), Gwarinpa",Local Used,184607 km
"₦ 4,935,000",Honda Accord 2012 Gray,"Abuja (FCT), Gudu",Foreign Used,132209 km
"₦ 4,410,000",Honda Odyssey 2.4 4WD 2007 Gold,"Rivers State, Port-Harcourt",Local Used,16091 km
"₦ 16,120,000",Mercedes-Benz E350 2010 Black,"Abuja (FCT), Wuse",Local Used,357978 km
"₦ 49,350,000",Mercedes-Benz X Class 2019 Blue,"Lagos State, Ajah",Local Used,42919 km
"₦ 16,640,000",Mercedes-Benz M Class 2011 White,"Lagos State, Lekki",Local Used,94715 km
"₦ 5,250,000",Toyota Highlander 2004 Gray,"Lagos State, Lekki",Local Used,208509 km
"₦ 4,725,000",Toyota Avensis 2005 Silver,"Oyo State, Ibadan",Local Used,130012 km
"₦ 28,080,000",Lexus RX 350 2013 Black,"Lagos State, Alimosho",Local Used,139254 km
"₦ 7,318,500",Mercedes-Benz GL-Class 2008 Black,"Oyo State, Ibadan",Local Used,288808 km
"₦ 12,300,000",Honda Odyssey 2012 Gray,"Oyo State, Ibadan",Foreign Used,305215 km
"₦ 42,000,000",Mercedes-Benz GLC-Class 2019 Black,"Abuja (FCT), Gudu",Foreign Used,102878 km
"₦ 3,360,000",Skoda Fabia 2007 Gold,"Rivers State, Port-Harcourt",Local Used,
"₦ 3,675,000",Ford Escape 2003 Gray,"Oyo State, Ibadan",Local Used,335059 km
"₦ 6,240,000",Toyota Matrix 2003 Silver,"Abuja (FCT), Lugbe District",Local Used,300542 km
"₦ 13,520,000",Ford F-150 2010 White,"Abuja (FCT), Gwarinpa",Local Used,200400 km
"₦ 41,600,000",Toyota Corolla 2020 Black,"Lagos State, Amuwo-Odofin",Foreign Used,136853 km
"₦ 13,520,000",Toyota Yaris 2012 Black,"Lagos State, Isolo",Foreign Used,198782 km
"₦ 15,600,000",Toyota Highlander Limited 4x4 2008 Black,"Lagos State, Lekki",Local Used,158131 km
"₦ 5,775,000",Toyota Sienna 2006 Blue,"Edo State, Benin City",Local Used,298692 km
"₦ 13,520,000",Toyota Corolla 2013 Blue,"Rivers State, Port-Harcourt",Foreign Used,159622 km
"₦ 9,450,000",Ford Edge 2012 Red,"Lagos State, Surulere",Foreign Used,160291 km
"₦ 11,000,000",Toyota Highlander 2008 Gold,"Abuja (FCT), Lugbe District",Local Used,205054 km
"₦ 10,710,000",Mercedes-Benz C300 2010 White,"Lagos State, Surulere",Foreign Used,183295 km
"₦ 8,977,500",BMW 328i 2013 White,"Lagos State, Amuwo-Odofin",Local Used,160715 km
"₦ 38,480,000",Toyota Camry 2018 Gray,"Abuja (FCT), Wuse",Foreign Used,250973 km
"₦ 6,032,000",Lexus ES 2004 Red,"Oyo State, Ibadan",Local Used,135773 km
"₦ 11,340,000",Toyota Venza 2011 Gray,"Lagos State, Yaba",Local Used,103320 km
"₦ 7,050,750",Mercedes-Benz C300 2008 White,"Abuja (FCT), Garki 2",Local Used,81168 km
"₦ 5,617,500",Acura MDX 2008 Gray,"Lagos State, Lekki",Local Used,302703 km
"₦ 6,968,000",Honda Accord 2012 Black,"Lagos State, Magodo",Local Used,155115 km
