Price,Car Name,Region,Condition,Mileage,Year,Color,Brand,Log_Price
6187500.0,Toyota Matrix,Edo State,Local Used,92685.0,2003,Blue,Toyota,15.63804184747523
4500000.0,Toyota Matrix,Lagos State,Local Used,201265.0,2005,Black,Toyota,15.319588176962744
15750000.0,Toyota Tacoma,Lagos State,Local Used,231046.0,2007,Red,Toyota,16.572350986727976
9000000.0,Toyota Corolla,Lagos State,Local Used,181394.0,2009,White,Toyota,16.012735246411598
4500000.0,Volkswagen Golf,Lagos State,Local Used,141227.0,1998,Blue,Volkswagen,15.319588176962744
11250000.0,Toyota Camry,Lagos State,Foreign Used,165535.0,2011,Silver,Toyota,16.235878775503586
3712500.0,Toyota Sienna,Lagos State,Local Used,443775.0,2005,Blue,Toyota,15.127216331453324
8100000.0,Toyota Avensis,Abuja (FCT),Local Used,166974.0,2009,Blue,Toyota,15.90737474309945
10125000.0,Kia Sorento,Lagos State,Local Used,105573.0,2012,Gray,Kia,16.130518269722305
22500000.0,Lexus RX 350,Lagos State,Local Used,249747.0,2010,Gray,Lexus,16.929025911619092
6232500.0,Toyota Highlander,Abuja (FCT),Local Used,266573.0,2006,Red,Toyota,15.645288254829094
4050000.0,Honda Civic,Rivers State,Local Used,200288.0,2007,White,Honda,15.21422768599627
9562500.0,Hyundai Sonata,Rivers State,Local Used,164141.0,2013,Black,Hyundai,16.073359861692087
13005000.0,Toyota Highlander,Lagos State,Local Used,88703.0,2011,Black,Toyota,16.38084453375839
14625000.0,Toyota Avensis,Lagos State,Local Used,279098.0,2012,Black,Toyota,16.49824301945826
11250000.0,BMW X6,Abuja (FCT),Local Used,216871.0,2011,Black,BMW,16.235878775503586
5062500.0,Honda Accord,Abuja (FCT),Local Used,120574.0,2008,Black,Honda,15.437371187927775
6210000.0,Toyota Camry,Lagos State,Local Used,273924.0,2007,Black,Toyota,15.641671614940243
22500000.0,Mercedes-Benz SL-Class,Oyo State,Foreign Used,216704.0,2005,Silver,Mercedes-Benz,16.929025911619092
3060000.0,Honda CR-V,Lagos State,Local Used,115105.0,2004,Red,Honda,14.933925800725895
5625000.0,Hyundai Tucson,Abuja (FCT),Local Used,177174.0,2008,Black,Hyundai,15.54273168383252
33750000.0,BMW X5,Abuja (FCT),Local Used,61300.0,2014,Blue,BMW,17.33449100491244
2250000.0,Honda Accord,Abuja (FCT),Local Used,207416.0,2001,Red,Honda,14.626441218624947
34425000.0,Honda Civic,Abuja (FCT),Foreign Used,101679.0,2023,White,Honda,17.354293631627648
6187500.0,Toyota Sequoia,Lagos State,Local Used,232310.0,2001,Green,Toyota,15.63804184747523
6187500.0,Toyota Camry,Abuja (FCT),Local Used,156648.0,2007,Silver,Toyota,15.63804184747523
4725000.0,Honda Civic,Abuja (FCT),Local Used,176399.0,2006,Blue,Honda,15.368378330550168
30937500.0,Ford Edge,Abuja (FCT),Local Used,254167.0,2017,Gray,Ford,17.247479630616414
